Trame codée bruitée,Trame binaire originale
"-1.0190037922809483, -0.9426895868004693, 0.9974737554240285, 1.0897522774167623, -0.8374464350612218, 0.8837861364586235, -0.9236911069478883, 0.9761439412632269, 0.9782733631177027, 1.0394959878368792, -1.0209563007711955, 0.8372123793455414, -0.9841423366849638, -0.985943902350761, -1.1465562185091909","1.0, 1.0, 0.0, 0.0, 1.0, 0.0"
"0.6921802769688736, -1.0141422000544404, 1.1725945550566146, -0.9994686226146522, 1.1392369743258426, 0.8268375212449914, -1.1467980495890435, 1.1078955830444899, 0.8509052598266382, -1.0437603919789764, 0.899853464177795, 0.8394655646834731, -1.1403815338366576, 0.9555092195712083, -0.6908156577273418","0.0, 1.0, 0.0, 1.0, 0.0, 0.0"
"1.1797152958154304, -1.1632388334407615, 1.1013672023924335, 0.9263079461844078, 0.9237928103574503, 0.883802345290952, 0.7277541629890462, -1.2506478764757745, 0.7918622323958595, -1.0960795878659784, 0.9262808262689209, 1.0512001407411844, -0.9823493667689374, 0.8331444228995507, 0.8992799237299748","0.0, 1.0, 0.0, 0.0, 0.0, 0.0"
"1.1846967315548431, 1.132768593312277, -1.0884911975964837, -0.8479205347533977, 0.8827084826139793, 1.024186102014261, 1.138190752617883, 0.9763655232721218, -1.1495985895388803, -0.9759677983393011, 0.9886775286972218, 0.9371961882345067, 1.0249580312684587, 1.291286397551632, 1.1413583161281382","0.0, 0.0, 1.0, 1.0, 0.0, 0.0"
"-0.9012218469472684, -0.9110871765760458, -1.2088125044871771, -0.9994308767405111, 0.8759175909983434, 0.9276482967482188, 1.1129022591450735, -1.1086908585485258, 0.8358599194495501, 1.0309300244265975, -0.795892093214591, -0.9546890666272168, 1.010755883079138, -1.0474058939403248, 0.8655928370231015","1.0, 1.0, 1.0, 1.0, 0.0, 0.0"
"1.1482173142645307, -1.0671491094266958, 0.7874399503667879, -0.930118845416538, 0.8221389812177717, 0.7959067428394058, -0.8748758535403299, 1.0998258864912955, 0.8647031944418907, -0.9175020618491045, 1.0502204937795456, 0.9466821696263052, -1.1026185979129735, 0.8419711420839914, -1.0367145891687093","0.0, 1.0, 0.0, 1.0, 0.0, 0.0"
"-1.0674107191981042, -1.0644985778096323, -0.9852062139448965, -1.1974527202807554, 1.1370021186901542, 0.9313647988972455, 0.9939748967867885, -1.1344632038487288, 0.7736480553695251, 1.0548238495219189, -1.0441318374233493, -0.7685400561182549, 0.8723927131193698, -1.2608974127238466, 0.812474288541679","1.0, 1.0, 1.0, 1.0, 0.0, 0.0"
"-0.7828740630887878, 1.226548244041615, -1.0936678310343741, 1.0842939013881578, 0.8978795753422376, 0.8663563360063984, -0.8524551752418247, -0.9272840196986388, 1.058741273360528, -0.980610097017385, -1.00967362202695, -0.8561946664057372, -1.006135360858237, -1.3053131884987983, -0.9790877883256334","1.0, 0.0, 1.0, 0.0, 0.0, 0.0"
"1.1695288747871648, 1.4346612886900392, -0.9228337587362638, 1.0958971239870763, -0.9306466443891366, 1.2470871971376074, 1.0114033428981486, 1.4117947783906115, 0.728333085358472, 1.1277388451310446, 0.9243975583570938, -0.9947624794574043, -0.9042645862208367, 0.9378381625623943, 0.7478675597475917","0.0, 0.0, 1.0, 0.0, 1.0, 0.0"
"-0.9459915834479751, -0.930379877733728, -0.9464969001072249, 1.0684436247440547, 1.0853964403178273, 0.7068149034436406, -0.8405175005505382, 1.0687292532017159, 1.119756321947836, 0.9362849271005146, -1.1911861200291092, -0.8825716332321919, 0.9233175694159188, -1.1221974098562328, -1.162001999104352","1.0, 1.0, 1.0, 0.0, 0.0, 0.0"
