Mot original,Trame codée bruitée,Trame binaire originale
encu,"0.8824956231315724, -0.8507802711295133, -0.7917187244979962, 0.8023081467202555, 0.7568481836805548, -0.873938596777271, -0.9872270470237549, -0.8071211759759908, -1.007222227847222, 0.9936722094587422, -0.846165165915659, 0.957560398458171, 1.1347580711116825, -1.0262611031514872, 0.9116575417433395","0.0, 1.0, 1.0, 0.0, 0.0, 1.0"
9uazzmb6,"1.263798985177069, 1.064890605955361, -0.8842021058574727, -0.9258326152312931, -0.9760912115433501, 1.0531764644205992, 0.9918019710471564, -0.9211124764586855, -1.0233687576841275, -0.8108216494698874, -0.8403942144898688, -1.1137358578052128, 1.225396033234526, -1.034111368779893, -1.0491592346358973","0.0, 0.0, 1.0, 1.0, 1.0, 0.0"
4na1u74c,"1.183516497073073, 0.9658808709481104, -1.109763679848933, -0.8234527329195872, 1.0613916043633174, -1.075698057669206, 1.0030522616124535, 0.977613518542, 1.1125221390839581, 0.9762392516181013, 1.2024883861336075, 1.1444034736522775, 1.1880285670251451, 0.9903238035217257, -1.0147870663835168","0.0, 0.0, 1.0, 1.0, 0.0, 1.0"
0,"1.0067725164594146, 1.1643489687678892, -1.0378558443385368, -0.6434134642567182, 1.102961639853047, 1.2719726708542427, 0.9270300305216348, -0.8864370173465747, 0.9410063368701298, 0.942297004181927, -1.0011689536113675, 1.1305390560424278, -0.6856237498311206, -1.2835552907333863, 1.1134002094829913","0.0, 0.0, 1.0, 1.0, 0.0, 0.0"
4pdge2pkr,"1.0568352582680094, 0.9958488529927914, -0.826049054454013, -0.9181816332031738, 1.0487108256666098, -1.0165498795985404, 0.9844533762305652, 0.6764690096388817, 1.0402156622029453, 0.800974607150391, 1.2014431937575312, 1.0514945888653167, 1.2368289808882373, 1.1110974825490751, -0.6270929258638267","0.0, 0.0, 1.0, 1.0, 0.0, 1.0"
om08gz,"0.9414914189986128, -0.9720041801814865, -1.0357680912877394, 0.8491464731825024, -1.0120376203210943, -0.8150432938397351, -1.028899654365538, -0.9524732015807583, 0.9614478282263914, -0.921470094760247, -1.001668197729526, -1.0518519640491593, -1.266780968742578, -0.862915893437922, -1.5202050955655808","0.0, 1.0, 1.0, 0.0, 1.0, 1.0"
d9pe,"0.8831497633443551, -1.0543867241266418, -1.2149010241247273, 1.0284446721521943, 1.1298954976528341, -0.9348218407180731, -0.9721742414642174, -1.1665540461109816, -1.010048896982184, 1.022942232891899, -1.11469087623729, 1.183043174909354, 0.7306312028218942, -1.2383809318457657, 1.029124899817366","0.0, 1.0, 1.0, 0.0, 0.0, 1.0"
5k3,"1.0330991119816466, 1.1333229412033494, -1.1349932181124012, -0.9606304992556031, 1.179988754025172, -1.1219203927313786, 0.8425579533998212, 1.2139703194983322, 0.8898967180873532, 1.4793985239270935, 0.8502094105442918, 0.9863717023894311, 1.1238629462401075, 1.0413942337247526, -1.2438782464583766","0.0, 0.0, 1.0, 1.0, 0.0, 1.0"
5ezvh4,"0.9104742385887573, 0.8752540757283802, -1.2816705004820432, -0.7724970518353069, 1.0475505730709618, -0.9496245405715162, 0.8486762817087264, 0.9623431329471317, 0.8347967288444216, 1.055082941803343, 1.076297833386074, 1.0664383640554007, 0.8702809814278615, 1.1192302577324689, -0.7238114636787405","0.0, 0.0, 1.0, 1.0, 0.0, 1.0"
km08qil,"0.8346662984688852, -1.0628331416086223, -0.884932780012826, 0.8894281772475119, -0.9319930760882577, 0.924691317084848, -0.9844662031874533, 0.9530730681650004, 0.6162235259740448, -0.8371318898821847, 1.1754710253389018, -0.8289472361785314, 0.7984739458224052, 0.8261664480097793, 0.9784136690968427","0.0, 1.0, 1.0, 0.0, 1.0, 0.0"
w,"1.0584638156118515, -0.9255078032895077, -1.170833216317004, -0.7475393610882644, 0.8897337639636661, -0.9732865818586004, 1.166998111141252, 0.7221041951422849, 0.8763248185633277, 1.060909690771368, 0.914497304679478, -1.035751989355346, -1.1084662050274716, -1.0927492719931273, -0.8555793092129298","0.0, 1.0, 1.0, 1.0, 0.0, 1.0"
,"1.0841048784712874, 1.1222745069196702, 0.8664709810087419, 1.104588367966062, 0.8909851608438071, 1.0031540410519915, 1.3526368812166258, 1.036715965751205, 0.8992683104580713, 1.0471917107065634, 0.925588025253785, 0.9044353817515527, 0.8353523041336461, 0.8946726796498367, 1.1369807442963429","0.0, 0.0, 0.0, 0.0, 0.0, 0.0"
2px047f5,"0.8971205495464104, 0.813386606462822, -0.9491139272670137, -1.1315292680025557, 1.0108314787756891, 0.8951173585113941, 1.1223333556445856, -0.9755625026699125, 1.0452422531178394, 1.0840370209923298, -0.890770559140263, 0.8315424186988833, -1.0175024237942203, -0.9220146339765961, 0.7744575749975905","0.0, 0.0, 1.0, 1.0, 0.0, 0.0"
ie,"1.0709435677932457, -0.9709545351625013, -1.0157648725233546, 0.8995290747012306, -1.10907156892171, 1.0437999298348395, -0.7370472768857534, 0.9303863180429764, 0.9334306528021568, -1.0974934827296323, 0.869515159814484, -1.075120526439678, 1.0389405333750803, 0.9072947403809739, 0.769271155768047","0.0, 1.0, 1.0, 0.0, 1.0, 0.0"
llsh,"0.9971374223305263, -0.7119790937942775, -1.0838056231992281, 0.7630932601169255, -0.887397691658932, -0.9542445315714598, -0.8980779795670564, -1.0276466214366764, 1.0932016914995744, -1.0315003698122882, -1.1889056498184414, -1.0502000203821618, -0.8662768928248314, -0.9340077328846731, -1.1835736746096894","0.0, 1.0, 1.0, 0.0, 1.0, 1.0"
