original_text,noisy_codeword,snr_db
WL,"[-1.2617104143090114, -0.45403994549514093, -0.3416304961800527, -0.3164245545202774, -0.25041515978617146, -0.8256262700151469, -0.6704311667160263, -1.6317944324590723, 1.1682447065190553, 1.0408696107586322, 2.2000861604680004, 0.8271038349947245, 1.2377152081799985, -0.5370065960026642, 1.1415948747910374]",2.0
X I,"[0.4613387628245609, -0.9547736685978107, 0.5827944280217822, -2.556267915261795, -1.6985609852060974, 0.8557895881036445, 1.3740474917792016, -0.7328338917713588, 0.5054386029914337, 1.6935686512094956, -0.6599374424413756, 1.6269183351351204, -0.4467693296209283, 1.9213260256963234, 0.8714372445118974]",4.0
Ce projet de PFE explore l utilisation de l IA pour ameliorer les systemes de communication,"[1.2219438978922474, -0.18249349957149197, 1.3481762736905347, 1.0701686628810747, 2.1733017153546825, 0.7942578021981452, -1.3239448085149543, -0.5314372905253195, -0.9835479416471212, -0.24868301943020232, 2.462255886916309, -0.48082873785504177, 0.1983361735968916, 1.2613510680661268, -0.8162695495616163]",0.0
UtX,"[0.7939341243219473, -0.742603784004416, 0.33240639955299367, -2.5182630325404913, 0.3943109105048316, -1.2488362026873285, -1.0612798726700718, -0.9806137922111939, 1.558295017230782, 2.163501694385546, 0.8459219307504382, 0.31527639939976526, 1.1317269087429591, -1.3104682600883457, 0.906844838532593]",5.0
Lapprentissage profond revolutionne de nombreux domaines y compris les telecommunications,"[1.2801572762248103, -0.5581066766500027, 1.6347827006205304, 0.7340318444658465, -0.19904747605312878, 0.31688735937910684, 1.0690811960030187, -1.3214186076824852, -0.8484699016218151, -2.1079410591997103, -1.113866478232916, -1.6367315716328925, -1.4134895480588312, -1.2343183505632855, 1.3922569737826964]",2.0
Ce projet de PFE explore l utilisation de l IA pour ameliorer les systemes de communication,"[2.6999226122522213, -1.553247973612799, 1.5659595553148504, 0.26953889626988603, 3.8848623356366416, 0.21617012152255088, -1.4476705592326342, -0.28536584408088883, -1.1457244696452098, -0.715174948183501, 0.2360251002964271, -0.8035679847600409, 1.4019286662164334, -1.4390880376365378, 1.4675317983917853]",0.0
La communication numerique est au coeur de notre societe moderne,"[0.9827188537162099, -1.1639321126399622, 1.1174339027742237, 1.536963071104252, -1.6372944019777917, 0.2044210372852262, 1.4026829327008994, 0.16502049979409428, -0.43210625619558996, -2.739159610442162, -1.5688394809273287, -1.3447322245130542, -0.13207292957199557, -1.6845858721389408, 1.4943427328809735]",2.0
La communication numerique est au coeur de notre societe moderne,"[1.3769340453344971, -2.086739599978819, 0.44487075875199134, 1.270085603034935, -1.6248358687038038, -1.673905112145727, 1.1032811830640081, -0.6356387605298418, -1.3951075386120009, -0.6220579472077368, -1.0122275011950517, -2.5231213086035886, -1.659585423014469, -0.4786957948918066, 0.7227892145206708]",5.0
Lapprentissage profond revolutionne de nombreux domaines y compris les telecommunications,"[2.0664069150801785, -0.9066779596714499, 1.3062922765963745, 0.420887464335691, -1.0740469857327748, -1.0772722796739742, 1.2270895494722658, -0.5133844276866423, -1.3668331102650337, -0.6138555028085262, -0.6003608859305858, 0.005054247362196396, -0.7922417824397927, -1.3108845652422731, 1.3165763318023411]",4.0
uXMpA,"[0.5762919899082174, 0.7317192858902835, -0.5801795913680883, -0.78890412647254, 1.5836486353640407, -3.485240249652944, -1.4519258560307453, 1.133572802436225, -0.9489427389378132, -0.5951588457566841, -1.996515562890538, -0.07733832680781627, -0.4621126196637797, 0.4120833475179412, 0.4332480129911833]",0.0
